name,location,nirf_rank,cfi_id
"School of Planning & Architecture, New Delhi",India,8,1
"School of Planning & Architecture, Bhopal",India,11,2
School of Planning & Architecture: Vijayawada,India,19,3
"Birla Institute of Technology, Mesra, Ranchi",India,51,4
University of Hyderabad,India,74,5
Sant Longowal Institute of Engineering and Technology,India,79,6
"National Institute of Food Technology Entrepreneurship and Management, Kundli",India,101,7
"National Institute of Food Technology Entrepreneurship and Management, Thanjavur",India,102,8
"Punjab Engineering College, Chandigarh",India,103,9
Islamic University of Science and Technology Kashmir,India,151,10
"North Eastern Regional Institute of Science and Technology, Nirjuli-791109 (Itanagar),Arunachal Pradesh",India,152,11
"School of Engineering, Tezpur University, Napaam, Tezpur",India,153,12
"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",India,154,13
"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",India,155,14
"International Institute of Information Technology, Bhubaneswar",India,201,15
"International Institute of Information Technology, Naya Raipur",India,202,16
"Jawaharlal Nehru University, Delhi",India,203,17
"National Institute of Advanced Manufacturing Technology, Ranchi",India,204,18
"Assam University, Silchar",India,399,19
"Birla Institute of Technology, Deoghar Off-Campus",India,399,20
"Birla Institute of Technology, Patna Off-Campus",India,399,21
CU Jharkhand,India,399,22
Central University of Haryana,India,399,23
Central University of Jammu,India,399,24
"Central University of Rajasthan, Rajasthan",India,399,25
"Central institute of Technology Kokrajar, Assam",India,399,26
"Chhattisgarh Swami Vivekanada Technical University, Bhilai (CSVTU Bhilai)",India,399,27
"Gati Shakti Vishwavidyalaya, Vadodara",India,399,28
"Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal",India,399,29
"Gurukula Kangri Vishwavidyalaya, Haridwar",India,399,30
"Indian Institute of Carpet Technology, Bhadohi",India,399,31
"Indian Institute of Handloom Technology(IIHT), Varanasi",India,399,32
"Indian Institute of Handloom Technology, Salem",India,399,33
"Institute of Chemical Technology, Mumbai: Indian Oil Odisha Campus, Bhubaneswar",India,399,34
"Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University)",India,399,35
"Institute of Infrastructure, Technology, Research and Management-Ahmedabad",India,399,36
"J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad",India,399,37
"Mizoram University, Aizawl",India,399,38
"National Institute of Electronics and Information Technology, Ajmer (Rajasthan)",India,399,39
"National Institute of Electronics and Information Technology, Aurangabad (Maharashtra)",India,399,40
"National Institute of Electronics and Information Technology, Gorakhpur (UP)",India,399,41
"National Institute of Electronics and Information Technology, Patna (Bihar)",India,399,42
"National Institute of Electronics and Information Technology, Ropar (Punjab)",India,399,43
"North-Eastern Hill University, Shillong",India,399,44
"Puducherry Technological University, Puducherry",India,399,45
"Rajiv Gandhi National Aviation University, Fursatganj, Amethi (UP)",India,399,46
Shri G. S. Institute of Technology and Science Indore,India,399,47
