cfi_id,branch_id,year,category,closing_rank,round,quota,cutoff_id
19,3,2024,GEN,66923,1,AI,1
19,3,2024,GEN,68243,1,AI,2
19,3,2024,GEN,1032,1,AI,3
19,3,2024,EWS,10958,1,AI,4
19,3,2024,OBC,23389,1,AI,5
19,3,2024,OBC,24871,1,AI,6
19,3,2024,SC,12119,1,AI,7
19,3,2024,ST,4635,1,AI,8
19,3,2024,GEN,141227,1,HS,9
19,3,2024,GEN,129629,1,HS,10
19,3,2024,EWS,23746,1,HS,11
19,3,2024,OBC,69612,1,HS,12
19,3,2024,OBC,70635,1,HS,13
19,3,2024,SC,21582,1,HS,14
19,3,2024,SC,14181,1,HS,15
19,3,2024,ST,6618,1,HS,16
19,29,2024,GEN,45009,1,AI,17
19,29,2024,GEN,44196,1,AI,18
19,29,2024,GEN,1027,1,AI,19
19,29,2024,EWS,7753,1,AI,20
19,29,2024,OBC,17023,1,AI,21
19,29,2024,OBC,16458,1,AI,22
19,29,2024,SC,8992,1,AI,23
19,29,2024,ST,3944,1,AI,24
19,29,2024,GEN,84087,1,HS,25
19,29,2024,GEN,58413,1,HS,26
19,29,2024,GEN,3099,1,HS,27
19,29,2024,EWS,14070,1,HS,28
19,29,2024,OBC,46885,1,HS,29
19,29,2024,OBC,65659,1,HS,30
19,29,2024,SC,13347,1,HS,31
19,29,2024,SC,11992,1,HS,32
19,29,2024,ST,4841,1,HS,33
19,39,2024,GEN,50710,1,AI,34
19,39,2024,GEN,57126,1,AI,35
19,39,2024,GEN,2475,1,AI,36
19,39,2024,EWS,8126,1,AI,37
19,39,2024,OBC,17790,1,AI,38
19,39,2024,OBC,17591,1,AI,39
19,39,2024,SC,9425,1,AI,40
19,39,2024,ST,3962,1,AI,41
19,39,2024,GEN,92405,1,HS,42
19,39,2024,GEN,89120,1,HS,43
19,39,2024,GEN,3211,1,HS,44
19,39,2024,EWS,17225,1,HS,45
19,39,2024,OBC,54835,1,HS,46
19,39,2024,OBC,70503,1,HS,47
19,39,2024,SC,14268,1,HS,48
19,39,2024,SC,13772,1,HS,49
19,39,2024,ST,5877,1,HS,50
4,5,2024,GEN,648,1,AI,51
4,5,2024,EWS,265,1,AI,52
4,5,2024,OBC,438,1,AI,53
4,5,2024,SC,206,1,AI,54
4,5,2024,ST,56,1,AI,55
4,5,2024,GEN,1527,1,HS,56
4,5,2024,EWS,1169,1,HS,57
4,5,2024,SC,1292,1,HS,58
4,5,2024,ST,285,1,HS,59
4,7,2024,GEN,18212,1,AI,60
4,7,2024,GEN,28439,1,AI,61
4,7,2024,GEN,567,1,AI,62
4,7,2024,EWS,3258,1,AI,63
4,7,2024,OBC,8080,1,AI,64
4,7,2024,OBC,578,1,AI,65
4,7,2024,SC,5686,1,AI,66
4,7,2024,ST,2984,1,AI,67
4,7,2024,GEN,34355,1,HS,68
4,7,2024,GEN,47214,1,HS,69
4,7,2024,GEN,1058,1,HS,70
4,7,2024,EWS,6743,1,HS,71
4,7,2024,SC,10115,1,HS,72
4,7,2024,ST,7998,1,HS,73
4,20,2024,GEN,46939,1,AI,74
4,20,2024,GEN,39577,1,AI,75
4,20,2024,GEN,2889,1,AI,76
4,20,2024,EWS,8391,1,AI,77
4,20,2024,OBC,15947,1,AI,78
4,20,2024,SC,9657,1,AI,79
4,20,2024,ST,4899,1,AI,80
4,20,2024,GEN,84818,1,HS,81
4,20,2024,GEN,55797,1,HS,82
4,20,2024,EWS,15011,1,HS,83
4,20,2024,SC,21755,1,HS,84
4,20,2024,ST,19837,1,HS,85
4,23,2024,GEN,47248,1,AI,86
4,23,2024,GEN,49373,1,AI,87
4,23,2024,GEN,2083,1,AI,88
4,23,2024,EWS,7620,1,AI,89
4,23,2024,OBC,17577,1,AI,90
4,23,2024,OBC,1294,1,AI,91
4,23,2024,SC,9729,1,AI,92
4,23,2024,ST,5123,1,AI,93
4,23,2024,GEN,77379,1,HS,94
4,23,2024,GEN,84314,1,HS,95
4,23,2024,GEN,2582,1,HS,96
4,23,2024,EWS,14693,1,HS,97
4,23,2024,SC,18718,1,HS,98
4,23,2024,ST,18271,1,HS,99
4,25,2024,GEN,48654,1,AI,100
4,25,2024,GEN,53180,1,AI,101
4,25,2024,GEN,1093,1,AI,102
4,25,2024,EWS,7825,1,AI,103
4,25,2024,OBC,17267,1,AI,104
4,25,2024,OBC,913,1,AI,105
4,25,2024,SC,9390,1,AI,106
4,25,2024,ST,3617,1,AI,107
4,25,2024,GEN,76113,1,HS,108
4,25,2024,GEN,90846,1,HS,109
4,25,2024,EWS,13322,1,HS,110
4,25,2024,SC,13544,1,HS,111
4,25,2024,ST,9800,1,HS,112
4,29,2024,GEN,16476,1,AI,113
4,29,2024,GEN,24250,1,AI,114
4,29,2024,GEN,920,1,AI,115
4,29,2024,EWS,3129,1,AI,116
4,29,2024,OBC,7238,1,AI,117
4,29,2024,OBC,546,1,AI,118
4,29,2024,SC,5561,1,AI,119
4,29,2024,ST,2420,1,AI,120
4,29,2024,GEN,29002,1,HS,121
4,29,2024,GEN,45510,1,HS,122
4,29,2024,GEN,3658,1,HS,123
4,29,2024,EWS,6624,1,HS,124
4,29,2024,SC,9803,1,HS,125
4,29,2024,ST,7077,1,HS,126
4,36,2024,GEN,28399,1,AI,127
4,36,2024,GEN,38953,1,AI,128
4,36,2024,GEN,2098,1,AI,129
4,36,2024,EWS,5236,1,AI,130
4,36,2024,OBC,13978,1,AI,131
4,36,2024,OBC,1296,1,AI,132
4,36,2024,SC,8298,1,AI,133
4,36,2024,ST,4296,1,AI,134
4,36,2024,GEN,49025,1,HS,135
4,36,2024,GEN,74925,1,HS,136
4,36,2024,GEN,4066,1,HS,137
4,36,2024,EWS,10051,1,HS,138
4,36,2024,SC,13901,1,HS,139
4,36,2024,ST,14634,1,HS,140
4,39,2024,GEN,23407,1,AI,141
4,39,2024,GEN,33123,1,AI,142
4,39,2024,GEN,2013,1,AI,143
4,39,2024,EWS,4522,1,AI,144
4,39,2024,OBC,11481,1,AI,145
4,39,2024,OBC,1335,1,AI,146
4,39,2024,SC,7314,1,AI,147
4,39,2024,ST,4139,1,AI,148
4,39,2024,GEN,42550,1,HS,149
4,39,2024,GEN,61254,1,HS,150
4,39,2024,GEN,4020,1,HS,151
4,39,2024,EWS,9528,1,HS,152
4,39,2024,SC,12626,1,HS,153
4,39,2024,ST,12784,1,HS,154
4,44,2024,GEN,52305,1,AI,155
