name,location,nirf_rank,iiit_id
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,India,96,1
"Indian Institute of Information Technology, Allahabad",India,101,2
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",India,102,3
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",India,151,4
Indian Institute of Information Technology Guwahati,India,201,5
Indian Institute of Information Technology (IIIT) Nagpur,India,399,6
Indian Institute of Information Technology (IIIT) Pune,India,399,7
Indian Institute of Information Technology (IIIT) Ranchi,India,399,8
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",India,399,9
"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",India,399,10
Indian Institute of Information Technology Bhagalpur,India,399,11
Indian Institute of Information Technology Bhopal,India,399,12
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",India,399,13
Indian Institute of Information Technology Lucknow,India,399,14
Indian Institute of Information Technology Surat,India,399,15
Indian Institute of Information Technology Tiruchirappalli,India,399,16
Indian Institute of Information Technology(IIIT) Dharwad,India,399,17
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal",India,399,18
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana",India,399,19
Indian Institute of Information Technology(IIIT) Kottayam,India,399,20
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh",India,399,21
"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",India,399,22
"Indian Institute of Information Technology, Agartala",India,399,23
"Indian Institute of Information Technology, Vadodara International Campus Diu (IIITVICD)",India,399,24
