nit_id,branch_id,year,category,closing_rank,round,quota,cutoff_id
11,10,2024,GEN,65917,1,HS,1
11,10,2024,GEN,53648,1,HS,2
11,10,2024,EWS,10180,1,HS,3
11,10,2024,EWS,16293,1,HS,4
11,10,2024,OBC,52241,1,HS,5
11,10,2024,OBC,56151,1,HS,6
11,10,2024,SC,11090,1,HS,7
11,10,2024,ST,15566,1,HS,8
11,10,2024,GEN,41817,1,OS,9
11,10,2024,GEN,43186,1,OS,10
11,10,2024,EWS,6634,1,OS,11
11,10,2024,OBC,13478,1,OS,12
11,10,2024,OBC,17214,1,OS,13
11,10,2024,SC,4841,1,OS,14
11,10,2024,SC,8402,1,OS,15
11,10,2024,ST,3006,1,OS,16
11,16,2024,GEN,49650,1,HS,17
11,16,2024,GEN,54809,1,HS,18
11,16,2024,EWS,8740,1,HS,19
11,16,2024,EWS,9600,1,HS,20
11,16,2024,OBC,42794,1,HS,21
11,16,2024,OBC,39672,1,HS,22
11,16,2024,SC,9501,1,HS,23
11,16,2024,SC,7401,1,HS,24
11,16,2024,SC,126,1,HS,25
11,16,2024,ST,43332,1,HS,26
11,16,2024,GEN,33644,1,OS,27
11,16,2024,GEN,41891,1,OS,28
11,16,2024,GEN,1897,1,OS,29
11,16,2024,EWS,4972,1,OS,30
11,16,2024,EWS,6450,1,OS,31
11,16,2024,OBC,10647,1,OS,32
11,16,2024,OBC,16580,1,OS,33
11,16,2024,SC,5276,1,OS,34
11,16,2024,SC,7234,1,OS,35
11,16,2024,ST,2306,1,OS,36
11,20,2024,GEN,52004,1,HS,37
11,20,2024,GEN,58821,1,HS,38
11,20,2024,GEN,2711,1,HS,39
11,20,2024,EWS,9381,1,HS,40
11,20,2024,EWS,9178,1,HS,41
11,20,2024,OBC,39530,1,HS,42
11,20,2024,OBC,44470,1,HS,43
11,20,2024,SC,9466,1,HS,44
11,20,2024,SC,11172,1,HS,45
11,20,2024,ST,32136,1,HS,46
11,20,2024,ST,16264,1,HS,47
11,20,2024,GEN,37500,1,OS,48
11,20,2024,GEN,46913,1,OS,49
11,20,2024,GEN,1098,1,OS,50
11,20,2024,EWS,5521,1,OS,51
11,20,2024,EWS,7111,1,OS,52
11,20,2024,OBC,12040,1,OS,53
11,20,2024,OBC,18509,1,OS,54
11,20,2024,SC,5637,1,OS,55
11,20,2024,SC,1933,1,OS,56
11,20,2024,ST,1255,1,OS,57
11,20,2024,ST,3134,1,OS,58
11,24,2024,GEN,14502,1,HS,59
11,24,2024,GEN,18113,1,HS,60
11,24,2024,GEN,686,1,HS,61
11,24,2024,EWS,2912,1,HS,62
11,24,2024,EWS,3397,1,HS,63
11,24,2024,OBC,7779,1,HS,64
11,24,2024,OBC,10562,1,HS,65
11,24,2024,SC,3299,1,HS,66
11,24,2024,SC,3812,1,HS,67
11,24,2024,ST,3754,1,HS,68
11,24,2024,ST,9914,1,HS,69
11,24,2024,GEN,10073,1,OS,70
11,24,2024,GEN,18149,1,OS,71
11,24,2024,GEN,241,1,OS,72
11,24,2024,EWS,1463,1,OS,73
11,24,2024,EWS,2555,1,OS,74
11,24,2024,OBC,3642,1,OS,75
11,24,2024,OBC,6862,1,OS,76
11,24,2024,OBC,364,1,OS,77
11,24,2024,SC,1916,1,OS,78
11,24,2024,SC,3707,1,OS,79
11,24,2024,SC,104,1,OS,80
11,24,2024,ST,877,1,OS,81
11,24,2024,ST,1357,1,OS,82
11,24,2024,ST,32,1,OS,83
11,27,2024,GEN,18820,1,HS,84
11,27,2024,GEN,18504,1,HS,85
11,27,2024,GEN,1808,1,HS,86
11,27,2024,EWS,3300,1,HS,87
11,27,2024,EWS,4736,1,HS,88
11,27,2024,OBC,16759,1,HS,89
11,27,2024,OBC,23221,1,HS,90
11,27,2024,SC,5878,1,HS,91
11,27,2024,SC,6475,1,HS,92
11,27,2024,ST,5260,1,HS,93
11,27,2024,ST,13468,1,HS,94
11,27,2024,GEN,13847,1,OS,95
11,27,2024,GEN,19393,1,OS,96
11,27,2024,GEN,411,1,OS,97
11,27,2024,EWS,1823,1,OS,98
11,27,2024,EWS,3846,1,OS,99
11,27,2024,OBC,5002,1,OS,100
11,27,2024,OBC,8853,1,OS,101
11,27,2024,SC,2349,1,OS,102
11,27,2024,SC,4664,1,OS,103
11,27,2024,ST,1244,1,OS,104
11,27,2024,ST,1871,1,OS,105
11,28,2024,GEN,28694,1,HS,106
