"IIT","Gen/OBC/EWS (>₹5L)","Gen/OBC/EWS (₹1–5L)","Gen/OBC/EWS (<₹1L)","SC/ST/PwD","Notes"
"IIT Bhubaneswar","₹1,00,000 + ₹12,000","₹33,333 + ₹12,000","₹0 + ₹12,000","₹0 + ₹12,000","Hostel, mess extra"
"IIT Bombay","₹1,00,000 + ₹18,250","₹33,333 + ₹18,250","₹0 + ₹18,250","₹0 + ₹18,250","Hostel, mess extra"
"IIT Delhi","₹1,00,000 + ₹35,650","₹33,333 + ₹35,650","₹0 + ₹35,650","₹0 + ₹35,650","Hostel, mess extra"
"IIT (BHU) Varanasi","₹1,00,000 + ₹13,410","₹33,333 + ₹13,410","₹0 + ₹13,410","₹0 + ₹13,410","Hostel, mess extra"
"IIT Dhanbad (ISM)","₹1,00,000 + ₹15,000","₹33,333 + ₹15,000","₹0 + ₹15,000","₹0 + ₹15,000","Hostel, mess extra"
"IIT Indore","₹1,00,000 + ₹10,525","₹33,333 + ₹10,525","₹0 + ₹10,525","₹0 + ₹10,525","Hostel, mess extra"
"IIT Gandhinagar","₹1,00,000 + ₹10,000","₹33,333 + ₹10,000","₹0 + ₹10,000","₹0 + ₹10,000","Hostel, mess extra"
"IIT Guwahati","₹1,00,000 + ₹7,000","₹33,333 + ₹7,000","₹0 + ₹7,000","₹0 + ₹7,000","Hostel, mess extra"
"IIT Hyderabad","₹1,00,000 + ₹17,800","₹33,333 + ₹17,800","₹0 + ₹17,800","₹0 + ₹17,800","Hostel, mess extra"
"IIT Jodhpur","₹1,00,000 + ₹15,000","₹33,333 + ₹15,000","₹0 + ₹15,000","₹0 + ₹15,000","Hostel, mess extra"
"IIT Kanpur","₹1,00,000 + ₹18,175","₹33,333 + ₹18,175","₹0 + ₹18,175","₹0 + ₹18,175","Hostel, mess extra"
"IIT Kharagpur","₹1,00,000 + ₹14,000","₹33,333 + ₹14,000","₹0 + ₹14,000","₹0 + ₹14,000","Hostel, mess extra"
"IIT Madras","₹1,00,000 + ₹36,500","₹33,333 + ₹36,500","₹0 + ₹36,500","₹0 + ₹36,500","Hostel, mess extra"
"IIT Mandi","₹1,00,000 + ₹4,500","₹33,333 + ₹4,500","₹0 + ₹4,500","₹0 + ₹4,500","Hostel, mess extra"
"IIT Palakkad","₹1,00,000 + ₹11,864","₹33,333 + ₹11,864","₹0 + ₹11,864","₹0 + ₹11,864","Hostel, mess extra"
"IIT Patna","₹1,00,000 + ₹24,600","₹33,333 + ₹24,600","₹0 + ₹24,600","₹0 + ₹24,600","Hostel, mess extra"
"IIT Roorkee","₹1,00,000 + ₹23,650","₹33,333 + ₹23,650","₹0 + ₹23,650","₹0 + ₹23,650","Hostel, mess extra"
"IIT Ropar","₹1,00,000 + ₹9,650","₹33,333 + ₹9,650","₹0 + ₹9,650","₹0 + ₹9,650","Hostel, mess extra"
"IIT Tirupati","₹1,00,000 + ₹21,125","₹33,333 + ₹21,125","₹0 + ₹21,125","₹0 + ₹21,125","Hostel, mess extra"
"IIT Bhilai","₹1,00,000 + ₹13,900","₹33,333 + ₹13,900","₹0 + ₹13,900","₹0 + ₹13,900","Hostel, mess extra"
"IIT Goa","₹1,00,000 + ₹8,450","₹33,333 + ₹8,450","₹0 + ₹8,450","₹0 + ₹8,450","Hostel, mess extra"
"IIT Jammu","₹1,00,000 + ₹20,000","₹33,333 + ₹20,000","₹0 + ₹20,000","₹0 + ₹20,000","Hostel, mess extra"
"IIT Dharwad","₹1,00,000 + ₹14,850","₹33,333 + ₹14,850","₹0 + ₹14,850","₹0 + ₹14,850","Hostel, mess extra"
