institute,academic_program,seat_type,gender,opening_rank,closing_rank,round_number,college_id
IIT Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,10063.0,13957.0,1,54.0
IIT Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),19820.0,22403.0,1,54.0
IIT Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,1912.0,2069.0,1,54.0
IIT Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),3450.0,3646.0,1,54.0
IIT Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,4402.0,4996.0,1,54.0
IIT Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),8189.0,8599.0,1,54.0
IIT Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,2203.0,2659.0,1,54.0
IIT Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2833.0,3619.0,1,54.0
IIT Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,883.0,1093.0,1,54.0
IIT Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1402.0,1419.0,1,54.0
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,2344.0,3785.0,1,54.0
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),4082.0,6467.0,1,54.0
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Female-only (including Supernumerary),,,1,54.0
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,426.0,525.0,1,54.0
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),923.0,1035.0,1,54.0
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,984.0,1415.0,1,54.0
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),2515.0,2988.0,1,54.0
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL (PwD),Gender-Neutral,54.0,54.0,1,54.0
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,344.0,741.0,1,54.0
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),836.0,1158.0,1,54.0
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,136.0,257.0,1,54.0
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),663.0,663.0,1,54.0
IIT Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,5585.0,7242.0,1,54.0
IIT Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),10538.0,14511.0,1,54.0
IIT Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,886.0,1041.0,1,54.0
IIT Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),2136.0,2167.0,1,54.0
IIT Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,2076.0,3151.0,1,54.0
IIT Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),5062.0,5470.0,1,54.0
IIT Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1101.0,1766.0,1,54.0
IIT Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2175.0,2175.0,1,54.0
IIT Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,552.0,862.0,1,54.0
IIT Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),846.0,846.0,1,54.0
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,3873.0,5535.0,1,54.0
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),8804.0,9686.0,1,54.0
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,164.0,164.0,1,54.0
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,671.0,767.0,1,54.0
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1367.0,1367.0,1,54.0
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,1422.0,2072.0,1,54.0
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),3635.0,4551.0,1,54.0
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OBC-NCL (PwD),Female-only (including Supernumerary),,,1,54.0
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,987.0,1293.0,1,54.0
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1476.0,1476.0,1,54.0
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,511.0,553.0,1,54.0
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),830.0,830.0,1,54.0
IIT Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,8840.0,10494.0,1,54.0
IIT Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),19737.0,20216.0,1,54.0
IIT Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,1749.0,1801.0,1,54.0
IIT Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,3444.0,4500.0,1,54.0
IIT Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),6849.0,6849.0,1,54.0
IIT Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1650.0,2568.0,1,54.0
IIT Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),3531.0,3531.0,1,54.0
IIT Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",ST,Gender-Neutral,1221.0,1221.0,1,54.0
IIT Bhubaneswar,"Mathematics and Computing (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,4174.0,4607.0,1,54.0
IIT Bhubaneswar,"Mathematics and Computing (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),7679.0,8287.0,1,54.0
IIT Bhubaneswar,"Mathematics and Computing (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,661.0,727.0,1,54.0
IIT Bhubaneswar,"Mathematics and Computing (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,1664.0,1935.0,1,54.0
IIT Bhubaneswar,"Mathematics and Computing (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),4715.0,4715.0,1,54.0
IIT Bhubaneswar,"Mathematics and Computing (4 Years, Bachelor of Technology)",SC,Gender-Neutral,989.0,992.0,1,54.0
IIT Bhubaneswar,"Mathematics and Computing (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2114.0,2114.0,1,54.0
IIT Bhubaneswar,"Mathematics and Computing (4 Years, Bachelor of Technology)",ST,Gender-Neutral,619.0,769.0,1,54.0
IIT Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,4945.0,10078.0,1,54.0
IIT Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),13775.0,18906.0,1,54.0
IIT Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,,,1,54.0
IIT Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,1272.0,1573.0,1,54.0
IIT Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),2712.0,2851.0,1,54.0
IIT Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,3085.0,3975.0,1,54.0
IIT Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),6760.0,7321.0,1,54.0
IIT Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1789.0,2275.0,1,54.0
IIT Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),3073.0,3225.0,1,54.0
IIT Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,915.0,1035.0,1,54.0
IIT Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1254.0,1471.0,1,54.0
IIT Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,11591.0,13695.0,1,54.0
IIT Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),20044.0,21967.0,1,54.0
IIT Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,2057.0,2211.0,1,54.0
IIT Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,5004.0,5323.0,1,54.0
IIT Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),8517.0,8849.0,1,54.0
IIT Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,2723.0,2907.0,1,54.0
IIT Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),3707.0,3707.0,1,54.0
IIT Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,1195.0,1200.0,1,54.0
IIT Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1764.0,1764.0,1,54.0
IIT Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1195.0,2305.0,1,3.0
IIT Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),4812.0,5994.0,1,3.0
IIT Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,219.0,404.0,1,3.0
IIT Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1160.0,1160.0,1,3.0
IIT Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",EWS (PwD),Gender-Neutral,41.0,41.0,1,3.0
IIT Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,909.0,1283.0,1,3.0
IIT Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),2823.0,3552.0,1,3.0
IIT Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",OBC-NCL (PwD),Female-only (including Supernumerary),,,1,3.0
IIT Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,162.0,600.0,1,3.0
IIT Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),459.0,879.0,1,3.0
IIT Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,315.0,409.0,1,3.0
