institute,seat_type,gender,opening_rank,closing_rank,round_number,program_name,duration,degree_raw,college_id
"Assam University, Silchar",OPEN,Gender-Neutral,39074,66923,1,Agricultural Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",OPEN,Female-only (including Supernumerary),68243,68243,1,Agricultural Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",OPEN (PwD),Gender-Neutral,1032,1032,1,Agricultural Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",EWS,Gender-Neutral,10119,10958,1,Agricultural Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",OBC-NCL,Gender-Neutral,21209,23389,1,Agricultural Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",OBC-NCL,Female-only (including Supernumerary),24871,24871,1,Agricultural Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",SC,Gender-Neutral,11151,12119,1,Agricultural Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",ST,Gender-Neutral,4612,4635,1,Agricultural Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",OPEN,Gender-Neutral,94565,141227,1,Agricultural Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",OPEN,Female-only (including Supernumerary),129629,129629,1,Agricultural Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",EWS,Gender-Neutral,22205,23746,1,Agricultural Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",OBC-NCL,Gender-Neutral,52108,69612,1,Agricultural Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",OBC-NCL,Female-only (including Supernumerary),70635,70635,1,Agricultural Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",SC,Gender-Neutral,16550,21582,1,Agricultural Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",SC,Female-only (including Supernumerary),14181,14181,1,Agricultural Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",ST,Gender-Neutral,6233,6618,1,Agricultural Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",OPEN,Gender-Neutral,32251,45009,1,Computer Science and Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",OPEN,Female-only (including Supernumerary),44196,44196,1,Computer Science and Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",OPEN (PwD),Gender-Neutral,1027,1027,1,Computer Science and Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",EWS,Gender-Neutral,6995,7753,1,Computer Science and Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",OBC-NCL,Gender-Neutral,14713,17023,1,Computer Science and Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",OBC-NCL,Female-only (including Supernumerary),16458,16458,1,Computer Science and Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",SC,Gender-Neutral,7276,8992,1,Computer Science and Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",ST,Gender-Neutral,3846,3944,1,Computer Science and Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",OPEN,Gender-Neutral,51515,84087,1,Computer Science and Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",OPEN,Female-only (including Supernumerary),58413,58413,1,Computer Science and Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",OPEN (PwD),Gender-Neutral,3099,3099,1,Computer Science and Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",EWS,Gender-Neutral,12264,14070,1,Computer Science and Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",OBC-NCL,Gender-Neutral,38787,46885,1,Computer Science and Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",OBC-NCL,Female-only (including Supernumerary),65659,65659,1,Computer Science and Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",SC,Gender-Neutral,11350,13347,1,Computer Science and Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",SC,Female-only (including Supernumerary),11992,11992,1,Computer Science and Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",ST,Gender-Neutral,4594,4841,1,Computer Science and Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",OPEN,Gender-Neutral,29871,50710,1,Electronics and Communication Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",OPEN,Female-only (including Supernumerary),57126,57126,1,Electronics and Communication Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",OPEN (PwD),Gender-Neutral,2475,2475,1,Electronics and Communication Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",EWS,Gender-Neutral,7841,8126,1,Electronics and Communication Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",OBC-NCL,Gender-Neutral,15405,17790,1,Electronics and Communication Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",OBC-NCL,Female-only (including Supernumerary),17591,17591,1,Electronics and Communication Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",SC,Gender-Neutral,8086,9425,1,Electronics and Communication Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",ST,Gender-Neutral,3645,3962,1,Electronics and Communication Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",OPEN,Gender-Neutral,79517,92405,1,Electronics and Communication Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",OPEN,Female-only (including Supernumerary),89120,89120,1,Electronics and Communication Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",OPEN (PwD),Gender-Neutral,3211,3211,1,Electronics and Communication Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",EWS,Gender-Neutral,16299,17225,1,Electronics and Communication Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",OBC-NCL,Gender-Neutral,47586,54835,1,Electronics and Communication Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",OBC-NCL,Female-only (including Supernumerary),70503,70503,1,Electronics and Communication Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",SC,Gender-Neutral,13154,14268,1,Electronics and Communication Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",SC,Female-only (including Supernumerary),13772,13772,1,Electronics and Communication Engineering,4 Years,Bachelor of Technology,
"Assam University, Silchar",ST,Gender-Neutral,5440,5877,1,Electronics and Communication Engineering,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",OPEN,Gender-Neutral,506,648,1,Architecture,5 Years,Bachelor of Architecture,
"Birla Institute of Technology, Mesra, Ranchi",EWS,Gender-Neutral,265,265,1,Architecture,5 Years,Bachelor of Architecture,
"Birla Institute of Technology, Mesra, Ranchi",OBC-NCL,Gender-Neutral,371,438,1,Architecture,5 Years,Bachelor of Architecture,
"Birla Institute of Technology, Mesra, Ranchi",SC,Gender-Neutral,188,206,1,Architecture,5 Years,Bachelor of Architecture,
"Birla Institute of Technology, Mesra, Ranchi",ST,Gender-Neutral,56,56,1,Architecture,5 Years,Bachelor of Architecture,
"Birla Institute of Technology, Mesra, Ranchi",OPEN,Gender-Neutral,867,1527,1,Architecture,5 Years,Bachelor of Architecture,
"Birla Institute of Technology, Mesra, Ranchi",EWS,Gender-Neutral,1169,1169,1,Architecture,5 Years,Bachelor of Architecture,
"Birla Institute of Technology, Mesra, Ranchi",SC,Gender-Neutral,1292,1292,1,Architecture,5 Years,Bachelor of Architecture,
"Birla Institute of Technology, Mesra, Ranchi",ST,Gender-Neutral,201,285,1,Architecture,5 Years,Bachelor of Architecture,
"Birla Institute of Technology, Mesra, Ranchi",OPEN,Gender-Neutral,16494,18212,1,Artificial Intelligence and Machine Learning,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",OPEN,Female-only (including Supernumerary),26734,28439,1,Artificial Intelligence and Machine Learning,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",OPEN (PwD),Gender-Neutral,567,567,1,Artificial Intelligence and Machine Learning,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",EWS,Gender-Neutral,2616,3258,1,Artificial Intelligence and Machine Learning,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",OBC-NCL,Gender-Neutral,7324,8080,1,Artificial Intelligence and Machine Learning,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",OBC-NCL (PwD),Gender-Neutral,578,578,1,Artificial Intelligence and Machine Learning,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",SC,Gender-Neutral,2332,5686,1,Artificial Intelligence and Machine Learning,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",ST,Gender-Neutral,1433,2984,1,Artificial Intelligence and Machine Learning,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",OPEN,Gender-Neutral,29200,34355,1,Artificial Intelligence and Machine Learning,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",OPEN,Female-only (including Supernumerary),42703,47214,1,Artificial Intelligence and Machine Learning,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",OPEN (PwD),Gender-Neutral,1058,1058,1,Artificial Intelligence and Machine Learning,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",EWS,Gender-Neutral,6663,6743,1,Artificial Intelligence and Machine Learning,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",SC,Gender-Neutral,9766,10115,1,Artificial Intelligence and Machine Learning,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",ST,Gender-Neutral,3602,7998,1,Artificial Intelligence and Machine Learning,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",OPEN,Gender-Neutral,37534,46939,1,Bio Technology,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",OPEN,Female-only (including Supernumerary),39577,39577,1,Bio Technology,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",OPEN (PwD),Gender-Neutral,2889,2889,1,Bio Technology,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",EWS,Gender-Neutral,8265,8391,1,Bio Technology,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",OBC-NCL,Gender-Neutral,14569,15947,1,Bio Technology,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",SC,Gender-Neutral,8396,9657,1,Bio Technology,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",ST,Gender-Neutral,4899,4899,1,Bio Technology,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",OPEN,Gender-Neutral,77686,84818,1,Bio Technology,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",OPEN,Female-only (including Supernumerary),48221,55797,1,Bio Technology,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",EWS,Gender-Neutral,12857,15011,1,Bio Technology,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",SC,Gender-Neutral,21411,21755,1,Bio Technology,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",ST,Gender-Neutral,18651,19837,1,Bio Technology,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",OPEN,Gender-Neutral,38260,47248,1,Chemical Engineering,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",OPEN,Female-only (including Supernumerary),45174,49373,1,Chemical Engineering,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",OPEN (PwD),Gender-Neutral,2083,2083,1,Chemical Engineering,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",EWS,Gender-Neutral,6926,7620,1,Chemical Engineering,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",OBC-NCL,Gender-Neutral,13947,17577,1,Chemical Engineering,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",OBC-NCL (PwD),Gender-Neutral,1294,1294,1,Chemical Engineering,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",SC,Gender-Neutral,9130,9729,1,Chemical Engineering,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",ST,Gender-Neutral,4451,5123,1,Chemical Engineering,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",OPEN,Gender-Neutral,48312,77379,1,Chemical Engineering,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",OPEN,Female-only (including Supernumerary),77556,84314,1,Chemical Engineering,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",OPEN (PwD),Gender-Neutral,2582,2582,1,Chemical Engineering,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",EWS,Gender-Neutral,11528,14693,1,Chemical Engineering,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",SC,Gender-Neutral,13987,18718,1,Chemical Engineering,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",ST,Gender-Neutral,6348,18271,1,Chemical Engineering,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",OPEN,Gender-Neutral,39328,48654,1,Civil Engineering,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",OPEN,Female-only (including Supernumerary),50450,53180,1,Civil Engineering,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",OPEN (PwD),Gender-Neutral,1093,1093,1,Civil Engineering,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",EWS,Gender-Neutral,7663,7825,1,Civil Engineering,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",OBC-NCL,Gender-Neutral,15365,17267,1,Civil Engineering,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",OBC-NCL (PwD),Gender-Neutral,913,913,1,Civil Engineering,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",SC,Gender-Neutral,7696,9390,1,Civil Engineering,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",ST,Gender-Neutral,2756,3617,1,Civil Engineering,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",OPEN,Gender-Neutral,51117,76113,1,Civil Engineering,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",OPEN,Female-only (including Supernumerary),83158,90846,1,Civil Engineering,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",EWS,Gender-Neutral,12016,13322,1,Civil Engineering,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",SC,Gender-Neutral,11834,13544,1,Civil Engineering,4 Years,Bachelor of Technology,
"Birla Institute of Technology, Mesra, Ranchi",ST,Gender-Neutral,3720,9800,1,Civil Engineering,4 Years,Bachelor of Technology,
