institute,seat_type,gender,opening_rank,closing_rank,round_number,program_name,duration,degree_raw,college_id
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,OPEN,Gender-Neutral,5514,7835,1,Computer Science and Engineering,4 Years,Bachelor of Technology,
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,OPEN,Female-only (including Supernumerary),9323,14651,1,Computer Science and Engineering,4 Years,Bachelor of Technology,
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,OPEN (PwD),Gender-Neutral,129,129,1,Computer Science and Engineering,4 Years,Bachelor of Technology,
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,OPEN (PwD),Female-only (including Supernumerary),481,481,1,Computer Science and Engineering,4 Years,Bachelor of Technology,
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,EWS,Gender-Neutral,1014,1053,1,Computer Science and Engineering,4 Years,Bachelor of Technology,
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,EWS,Female-only (including Supernumerary),1938,1938,1,Computer Science and Engineering,4 Years,Bachelor of Technology,
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,OBC-NCL,Gender-Neutral,2538,3233,1,Computer Science and Engineering,4 Years,Bachelor of Technology,
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,OBC-NCL,Female-only (including Supernumerary),4902,6583,1,Computer Science and Engineering,4 Years,Bachelor of Technology,
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,OBC-NCL (PwD),Gender-Neutral,229,229,1,Computer Science and Engineering,4 Years,Bachelor of Technology,
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,SC,Gender-Neutral,1520,1905,1,Computer Science and Engineering,4 Years,Bachelor of Technology,
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,SC,Female-only (including Supernumerary),2999,3715,1,Computer Science and Engineering,4 Years,Bachelor of Technology,
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,SC (PwD),Gender-Neutral,97,97,1,Computer Science and Engineering,4 Years,Bachelor of Technology,
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,ST,Gender-Neutral,660,933,1,Computer Science and Engineering,4 Years,Bachelor of Technology,
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,ST,Female-only (including Supernumerary),613,613,1,Computer Science and Engineering,4 Years,Bachelor of Technology,
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,ST (PwD),Gender-Neutral,84,84,1,Computer Science and Engineering,4 Years,Bachelor of Technology,
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,OPEN,Gender-Neutral,10908,15482,1,Electrical and Electronics Engineering,4 Years,Bachelor of Technology,
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,OPEN,Female-only (including Supernumerary),20940,24824,1,Electrical and Electronics Engineering,4 Years,Bachelor of Technology,
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,OPEN (PwD),Gender-Neutral,748,748,1,Electrical and Electronics Engineering,4 Years,Bachelor of Technology,
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,EWS,Gender-Neutral,2038,2155,1,Electrical and Electronics Engineering,4 Years,Bachelor of Technology,
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,EWS,Female-only (including Supernumerary),4509,4509,1,Electrical and Electronics Engineering,4 Years,Bachelor of Technology,
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,OBC-NCL,Gender-Neutral,4044,5946,1,Electrical and Electronics Engineering,4 Years,Bachelor of Technology,
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,OBC-NCL,Female-only (including Supernumerary),12961,13366,1,Electrical and Electronics Engineering,4 Years,Bachelor of Technology,
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,OBC-NCL (PwD),Gender-Neutral,639,639,1,Electrical and Electronics Engineering,4 Years,Bachelor of Technology,
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,SC,Gender-Neutral,3088,3855,1,Electrical and Electronics Engineering,4 Years,Bachelor of Technology,
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,SC,Female-only (including Supernumerary),4099,5994,1,Electrical and Electronics Engineering,4 Years,Bachelor of Technology,
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,ST,Gender-Neutral,1636,1749,1,Electrical and Electronics Engineering,4 Years,Bachelor of Technology,
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,ST,Female-only (including Supernumerary),3010,3010,1,Electrical and Electronics Engineering,4 Years,Bachelor of Technology,
